PMV,PPD,SET,To inferior,To superior,People HeatGain,TO
1.25,37.72576418,32.47,17.57,22.74,1379.2,26.62317011
1.19,34.76020223,32.11,17.59,22.74,1379.2,26.39220999
1,26.11965008,32.07,17.26,22.23,1379.2,24.6336002
1.08,29.6064854,32.82,17.13,22.11,1379.2,24.88437588
1.11,30.97274678,32.86,17.21,22.17,1379.2,25.14286527
1.11,30.97274678,32.45,17.31,22.35,1379.2,25.38780977
1.1,30.51390792,32.08,17.43,22.48,1034.4,25.5437367
1.08,29.6064854,31.69,17.51,22.64,689.6,25.65346132
1.08,29.6064854,31.62,17.54,22.7,1034.4,25.7366747
1.1,30.51390792,31.82,17.52,22.65,1379.2,25.80552039
1.12,31.4349433,31.9,17.52,22.64,1379.2,25.86065411
1.12,31.4349433,31.85,17.55,22.69,1379.2,25.92141356
1.12,31.4349433,31.83,17.55,22.71,1379.2,25.9298524
1.11,30.97274678,31.8,17.57,22.67,1379.2,25.92182568
1.02,26.96930872,32.39,17.18,22.14,1379.2,24.65340355
1.08,29.6064854,32.84,17.13,22.11,1379.2,24.89860304
1.11,30.97274678,32.94,17.16,22.15,1379.2,25.10012138
1.12,31.4349433,32.69,17.24,22.22,1379.2,25.3130974
1.1,30.51390792,32.25,17.39,22.4,1034.4,25.48475551
1.08,29.6064854,31.79,17.48,22.57,689.6,25.58792035
1.08,29.6064854,31.7,17.5,22.64,1034.4,25.68467851
1.1,30.51390792,31.84,17.49,22.63,1379.2,25.76473672
1.12,31.4349433,31.9,17.48,22.65,1379.2,25.85336129
1.13,31.90045026,31.93,17.54,22.66,1379.2,25.95492382
1.14,32.36921915,31.93,17.55,22.7,1379.2,26.04185142
1.13,31.90045026,31.84,17.57,22.7,1379.2,26.03936994
1.01,26.54259979,32.13,17.25,22.23,1379.2,24.72709781
1.08,29.6064854,32.86,17.13,22.11,1379.2,24.9253386
1.11,30.97274678,32.94,17.17,22.12,1379.2,25.11137252
1.11,30.97274678,32.62,17.24,22.24,1379.2,25.31360241
1.1,30.51390792,32.21,17.37,22.43,1034.4,25.49697289
1.09,30.05847259,31.82,17.5,22.59,689.6,25.65301552
1.1,30.51390792,31.79,17.53,22.66,1034.4,25.79686899
1.13,31.90045026,31.96,17.52,22.65,1379.2,25.96087075
1.19,34.76020223,32.26,17.52,22.65,1379.2,26.23320491
1.21,35.73758281,32.32,17.55,22.69,1379.2,26.35906693
1.23,36.72626647,32.36,17.58,22.71,1379.2,26.57653229
1.25,37.72576418,32.47,17.55,22.72,1379.2,26.62011787
